cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02A,02A000018,2A070,CASAGLIONE,,,,02A00104060,2020-07-01,08h25,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes en nombre important impose une surveillance renforcée. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,N,N,7,2020,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,,,,02A00105503,2020-09-16,08h25,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,N,9,2020,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,,,,02A00105641,2020-07-27,08h30,"Eau d'alimentation non conforme à la norme en vigueur, du fait du dépassement de la limite de qualité concernant le paramètre plomb.",SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,N,C,N,7,2020,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00106036,2020-11-05,08h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,N,C,N,C,11,2020,42.0678625,8.7884091
02A,02A000020,2A174,MURZO,,,,02A00103337,2020-02-13,08h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un Ph bas.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,C,N,2,2020,42.1679035,8.826578900000003
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00103800,2020-05-13,08h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes et de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,N,N,5,2020,42.1679035,8.826578900000003
02A,02A000020,2A174,MURZO,,,,02A00104071,2020-06-29,08h40,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,N,C,N,N,6,2020,42.1679035,8.826578900000003
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00105788,2020-10-06,10h25,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,N,C,N,N,10,2020,42.1679035,8.826578900000003
02A,02A000020,2A174,MURZO,,,,02A00106002,2020-11-10,10h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un Ph bas. La présence de germes coliformes est également à surveiller.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,N,N,11,2020,42.1679035,8.826578900000003
02A,02A000031,2A240,POGGIOLO,,,,02A00103245,2020-02-05,09h55,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,2,2020,42.176149,8.9094189
02A,02A000031,2A240,POGGIOLO,02A003034,TTP POGGIOLO,100 %,02A00103828,2020-05-18,09h50,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes en nombre important impose une surveillance renforcée,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,N,C,5,2020,42.176149,8.9094189
02A,02A000031,2A240,POGGIOLO,,,,02A00104050,2020-06-29,10h20,Eau d'alimentation non-conforme aux exigences de qualité. La présence en nombre important de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,C,6,2020,42.176149,8.9094189
02A,02A000031,2A240,POGGIOLO,02A003034,TTP POGGIOLO,100 %,02A00105786,2020-10-06,10h10,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,C,C,10,2020,42.176149,8.9094189
02A,02A000031,2A240,POGGIOLO,,,,02A00106007,2020-11-10,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,C,C,11,2020,42.176149,8.9094189
02A,02A000034,2A240,POGGIOLO,,,,02A00103242,2020-02-05,11h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,2,2020,42.176149,8.9094189
02A,02A000034,2A240,POGGIOLO,02A000033,UNITE STERILISATION GUAGNO-LES-BAINS,100 %,02A00103827,2020-05-18,08h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,N,N,N,5,2020,42.176149,8.9094189
02A,02A000034,2A240,POGGIOLO,,,,02A00104049,2020-06-29,09h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,6,2020,42.176149,8.9094189
02A,02A000034,2A240,POGGIOLO,02A000033,UNITE STERILISATION GUAGNO-LES-BAINS,100 %,02A00105787,2020-10-06,08h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,N,N,N,10,2020,42.176149,8.9094189
02A,02A000034,2A240,POGGIOLO,,,,02A00106001,2020-11-10,08h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,C,N,11,2020,42.176149,8.9094189
02A,02A000045,2A065,CARGESE,02A000044,UNITE STERILISATION BAITA,100 %,02A00103516,2020-03-09,08h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes coliformes est à surveiller.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,N,C,3,2020,42.13436,8.59422
02A,02A000045,2A065,CARGESE,,,,02A00103805,2020-05-14,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,5,2020,42.13436,8.59422
02A,02A000045,2A065,CARGESE,,,,02A00104441,2020-07-10,12h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,7,2020,42.13436,8.59422
02A,02A000045,2A065,CARGESE,02A000044,UNITE STERILISATION BAITA,100 %,02A00104450,2020-07-08,09h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,7,2020,42.13436,8.59422
02A,02A000045,2A065,CARGESE,,,,02A00105246,2020-09-02,08h40,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes en nombre important impose une surveillance renforcée.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,N,C,9,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00103140,2020-01-08,08h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes coliformes est à surveiller.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,N,C,1,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,02A000918,UNITE STERILISATION LOTISSEMENT CECCALDI,100 %,02A00103168,2020-01-08,10h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,1,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00103497,2020-03-09,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,3,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00103657,2020-04-06,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,4,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00103804,2020-05-14,07h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,5,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00104203,2020-06-22,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,6,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00104439,2020-07-10,12h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,7,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00105135,2020-08-26,09h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,8,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00105136,2020-08-26,09h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,8,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00105244,2020-09-02,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,9,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00105880,2020-10-20,08h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes coliformes est à surveiller.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,N,C,10,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,,,,02A00106023,2020-11-12,08h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,11,2020,42.13436,8.59422
02A,02A000046,2A065,CARGESE,02A000918,UNITE STERILISATION LOTISSEMENT CECCALDI,100 %,02A00106088,2020-11-12,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.Il est à noter que l'agressivité est suscept ible d'engendrer des risques de corrosion des canalisations.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,11,2020,42.13436,8.59422
02A,02A000051,2A348,VICO,,,,02A00103143,2020-01-08,08h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,1,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,,,,02A00103493,2020-03-05,09h30,"Eau d'alimentation non conforme à la norme en vigueur, du fait du dépassement de la référence de qualité concernant les paramètres chlore libre et turbidité.",COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,3,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,,,,02A00103807,2020-05-13,09h09,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,5,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,02A000050,UNITE STERILISATION VICO,100 %,02A00104021,2020-06-19,10h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,6,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,,,,02A00104883,2020-06-29,08h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Il est à noter un pH bas.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,6,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,,,,02A00105261,2020-08-26,09h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,8,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,02A000050,UNITE STERILISATION VICO,100 %,02A00105538,2020-09-09,08h15,"Eau d'alimentation non conforme à la norme en vigueur, du fait du dépassement de la limite de qualité concernant le paramètre turbidité.",COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,N,C,N,9,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,,,,02A00105766,2020-10-08,10h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes et de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,N,N,10,2020,42.1661203,8.795793699999999
02A,02A000051,2A348,VICO,,,,02A00105968,2020-11-04,08h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,11,2020,42.1661203,8.795793699999999
02A,02A000052,2A348,VICO,,,,02A00105139,2020-08-26,10h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,C,8,2020,42.1661203,8.795793699999999
02A,02A000055,2A198,OTA,,,,02A00103134,2020-01-08,08h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,1,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,,,,02A00103534,2020-03-16,09h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,C,3,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00103774,2020-05-05,11h10,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,N,C,N,N,5,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,,,,02A00103806,2020-05-14,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,5,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,,,,02A00104113,2020-05-25,09h20,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,N,C,N,N,5,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00104518,2020-06-30,08h45,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes en nombre important impose une surveillance renforcée.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,N,N,6,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,,,,02A00105133,2020-08-26,08h10,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.",COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,8,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,,,,02A00105615,2020-09-22,08h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,9,2020,42.2578277,8.7450622
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00105797,2020-10-08,10h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,N,C,N,N,10,2020,42.2578277,8.7450622
