cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,latitude,longitude,month,year
02A,02A000010,2A060,CANNELLE,,,,02A00106871,2021-05-05,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0492339,8.820429800000003,5,2021
02A,02A000010,2A060,CANNELLE,,,,02A00107364,2021-07-08,08h08,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes coliformes est à surveiller.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,N,C,42.0492339,8.820429800000003,7,2021
02A,02A000010,2A060,CANNELLE,,,,02A00108464,2021-09-15,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0492339,8.820429800000003,9,2021
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00108495,2021-09-10,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0492339,8.820429800000003,9,2021
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00106870,2021-05-05,09h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0838436,8.7928069,5,2021
02A,02A000013,2A014,AMBIEGNA,,,,02A00106879,2021-05-06,08h45,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes bactéries coliformes impose une surveillance renforcée.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,N,C,42.0838436,8.7928069,5,2021
02A,02A000013,2A014,AMBIEGNA,,,,02A00107414,2021-07-08,08h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,N,42.0838436,8.7928069,7,2021
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00108984,2021-11-09,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0838436,8.7928069,11,2021
02A,02A000018,2A070,CASAGLIONE,,,,02A00106517,2021-03-02,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0678625,8.7884091,3,2021
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00106802,2021-01-14,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0678625,8.7884091,1,2021
02A,02A000018,2A070,CASAGLIONE,,,,02A00107415,2021-07-08,09h35,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,N,C,C,C,42.0678625,8.7884091,7,2021
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00108975,2021-11-09,07h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Teneur en chlore libre excessive.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0678625,8.7884091,11,2021
02A,02A000020,2A174,MURZO,,,,02A00106391,2021-02-04,08h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un pH bas. La présence de germes coliformes est à surveiller.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,N,N,42.1679035,8.826578900000003,2,2021
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00106855,2021-05-03,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes et de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,N,N,42.1679035,8.826578900000003,5,2021
02A,02A000020,2A174,MURZO,,,,02A00107066,2021-06-03,07h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,N,N,42.1679035,8.826578900000003,6,2021
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00108707,2021-10-04,09h35,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,N,C,N,N,42.1679035,8.826578900000003,10,2021
02A,02A000020,2A174,MURZO,,,,02A00108895,2021-11-04,08h20,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée. Il est à noter une faible minéralisation.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,N,C,N,N,42.1679035,8.826578900000003,11,2021
02A,02A000031,2A240,POGGIOLO,,,,02A00106384,2021-02-03,11h10,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,2,2021
02A,02A000031,2A240,POGGIOLO,02A003034,TTP POGGIOLO,100 %,02A00106958,2021-05-10,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,C,C,42.176149,8.9094189,5,2021
02A,02A000031,2A240,POGGIOLO,,,,02A00107054,2021-06-03,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,C,C,42.176149,8.9094189,6,2021
02A,02A000031,2A240,POGGIOLO,02A003034,TTP POGGIOLO,100 %,02A00108709,2021-10-04,10h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,C,C,42.176149,8.9094189,10,2021
02A,02A000031,2A240,POGGIOLO,,,,02A00108891,2021-11-04,09h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,C,C,42.176149,8.9094189,11,2021
02A,02A000034,2A240,POGGIOLO,,,,02A00106383,2021-02-03,08h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,2,2021
02A,02A000034,2A240,POGGIOLO,02A000033,UNITE STERILISATION GUAGNO-LES-BAINS,100 %,02A00106957,2021-05-10,08h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,N,N,N,42.176149,8.9094189,5,2021
02A,02A000034,2A240,POGGIOLO,,,,02A00107053,2021-06-03,08h05,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,6,2021
02A,02A000034,2A240,POGGIOLO,02A000033,UNITE STERILISATION GUAGNO-LES-BAINS,100 %,02A00108708,2021-10-04,09h45,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,C,N,42.176149,8.9094189,10,2021
02A,02A000034,2A240,POGGIOLO,,,,02A00108892,2021-11-04,09h50,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes en nombre important impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,11,2021
02A,02A000045,2A065,CARGESE,02A000044,UNITE STERILISATION BAITA,100 %,02A00106547,2021-03-03,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,3,2021
02A,02A000045,2A065,CARGESE,,,,02A00106852,2021-05-04,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,5,2021
02A,02A000045,2A065,CARGESE,02A000044,UNITE STERILISATION BAITA,100 %,02A00107571,2021-07-12,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,7,2021
02A,02A000045,2A065,CARGESE,,,,02A00107721,2021-07-08,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,7,2021
02A,02A000045,2A065,CARGESE,,,,02A00108408,2021-09-08,08h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,9,2021
02A,02A000046,2A065,CARGESE,,,,02A00106239,2021-01-06,10h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes sulfito-réducteurs est à surveiller.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,N,C,42.13436,8.59422,1,2021
02A,02A000046,2A065,CARGESE,02A000918,UNITE STERILISATION LOTISSEMENT CECCALDI,100 %,02A00106253,2021-01-06,10h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes sulfito-réducteurs est à surveiller.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,N,C,42.13436,8.59422,1,2021
02A,02A000046,2A065,CARGESE,,,,02A00106539,2021-03-03,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,3,2021
02A,02A000046,2A065,CARGESE,,,,02A00106703,2021-04-07,09h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,4,2021
02A,02A000046,2A065,CARGESE,,,,02A00106853,2021-05-04,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,5,2021
02A,02A000046,2A065,CARGESE,,,,02A00107188,2021-06-03,07h40,"Eau d'alimentation non conforme à la norme en vigueur, du fait du dépassement de la référence de qualité concernant le paramètre turbidité.",COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,6,2021
02A,02A000046,2A065,CARGESE,,,,02A00107361,2021-07-08,09h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,7,2021
02A,02A000046,2A065,CARGESE,,,,02A00108000,2021-08-10,08h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,8,2021
02A,02A000046,2A065,CARGESE,,,,02A00108001,2021-08-10,08h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,8,2021
02A,02A000046,2A065,CARGESE,,,,02A00108393,2021-09-08,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,9,2021
02A,02A000046,2A065,CARGESE,,,,02A00108685,2021-10-05,11h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,10,2021
02A,02A000046,2A065,CARGESE,,,,02A00109046,2021-11-22,11h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Teneur en chlore libre excessive.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,11,2021
02A,02A000046,2A065,CARGESE,02A000918,UNITE STERILISATION LOTISSEMENT CECCALDI,100 %,02A00109156,2021-11-24,10h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,11,2021
02A,02A000051,2A348,VICO,,,,02A00106263,2021-01-07,08h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,1,2021
02A,02A000051,2A348,VICO,,,,02A00106514,2021-03-01,08h00,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un pH bas. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,3,2021
02A,02A000051,2A348,VICO,,,,02A00106837,2021-05-03,08h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,5,2021
02A,02A000051,2A348,VICO,02A000050,UNITE STERILISATION VICO,100 %,02A00107041,2021-06-01,10h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La turbidité est à surveiller.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,6,2021
02A,02A000051,2A348,VICO,,,,02A00107180,2021-06-07,08h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,6,2021
02A,02A000051,2A348,VICO,,,,02A00108086,2021-08-12,09h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,8,2021
02A,02A000051,2A348,VICO,02A000050,UNITE STERILISATION VICO,100 %,02A00108642,2021-09-21,09h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. L'agressivité est susceptible d'engendrer des risques de corrosion des canalisations. La turbidité et le carbone organique total sont à surveiller.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,9,2021
02A,02A000051,2A348,VICO,,,,02A00108720,2021-10-04,09h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,10,2021
02A,02A000051,2A348,VICO,,,,02A00108976,2021-11-04,10h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La turbidité est à surveiller. Il est à noter une faible minéralisation et la présence de germes sulf ito-réducteurs est à surveiller.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,N,N,42.1661203,8.795793699999999,11,2021
02A,02A000052,2A348,VICO,,,,02A00106519,2021-03-02,10h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive. Il est à noter un pH bas.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,3,2021
02A,02A000052,2A348,VICO,02A001027,UNITE STERILISATION APPRICIANI,100 %,02A00107095,2021-06-07,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,C,42.1661203,8.795793699999999,6,2021
02A,02A000052,2A348,VICO,,,,02A00108098,2021-08-12,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,8,2021
02A,02A000055,2A198,OTA,,,,02A00106236,2021-01-06,09h09,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La turbidité est à surveiller.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,1,2021
02A,02A000055,2A198,OTA,,,,02A00106601,2021-03-11,09h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,3,2021
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00106854,2021-05-04,10h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,5,2021
02A,02A000055,2A198,OTA,,,,02A00106942,2021-05-04,09h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,5,2021
02A,02A000055,2A198,OTA,,,,02A00106968,2021-05-17,10h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un pH bas.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,5,2021
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00107607,2021-06-22,09h09,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,6,2021
02A,02A000055,2A198,OTA,,,,02A00108005,2021-08-10,10h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,N,N,42.2578277,8.7450622,8,2021
02A,02A000055,2A198,OTA,,,,02A00108469,2021-09-15,09h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,9,2021
02A,02A000055,2A198,OTA,02A000054,UNITE STERILISATION OTA PORTO,,02A00108753,2021-10-07,10h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,10,2021
