cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude_y,longitude_y
02B,02B000097,2B007,ALBERTACCE,,,,02B00109808,2023-03-07,07h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,3,2023,42.3278205,8.9841915
02B,02B000097,2B007,ALBERTACCE,,,,02B00111084,2023-06-29,07h00,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,N,N,6,2023,42.3278205,8.9841915
02B,02B000103,2B016,ANTISANTI,,,,02B00109055,2023-01-16,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,1,2023,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,02B000101,RESERVOIR ANTISANTI,100 %,02B00109816,2023-03-06,07h05,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries coliformes. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,N,C,3,2023,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,,,,02B00109817,2023-04-24,07h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,4,2023,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,,,,02B00111093,2023-06-26,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,6,2023,42.1667523,9.347131
02B,02B000109,2B172,MURATO,02B000108,RESERVOIR CAMPANILE,100 %,02B00110110,2023-04-05,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,4,2023,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00110113,2023-02-01,08h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,2,2023,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00110114,2023-05-09,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,5,2023,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00110115,2023-03-13,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,3,2023,42.580199,9.328854
02B,02B000109,2B172,MURATO,02B000108,RESERVOIR CAMPANILE,100 %,02B00111396,2023-07-18,08h10,Eau d'alimentation conforme aux limites de qualité.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,N,7,2023,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00111397,2023-06-05,08h20,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,N,C,C,C,6,2023,42.580199,9.328854
02B,02B000129,2B208,PERELLI,,,,02B00110171,2023-02-02,06h45,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,2,2023,42.3235577,9.3935275
02B,02B000129,2B208,PERELLI,,,,02B00111329,2023-07-03,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,C,7,2023,42.3235577,9.3935275
02B,02B000132,2B267,SALICETO,02B000131,RESERVOIR SALICETO,100 %,02B00110361,2023-05-02,07h45,Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,5,2023,42.3995029,9.2953131
02B,02B000132,2B267,SALICETO,,,,02B00110362,2023-01-17,08h00,Eau d'alimentation conforme aux limites de qualité. Turbidité hors norme. Eau faiblement minéralisée.,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,1,2023,42.3995029,9.2953131
02B,02B000132,2B267,SALICETO,02B000131,RESERVOIR SALICETO,100 %,02B00111509,2023-08-16,10h15,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,8,2023,42.3995029,9.2953131
02B,02B000132,2B267,SALICETO,,,,02B00111510,2023-07-12,09h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,N,C,C,N,7,2023,42.3995029,9.2953131
02B,02B000148,2B039,BISINCHI,02B000142,RESERVOIR BISINCHI,100 %,02B00109845,2023-04-13,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,C,4,2023,42.4782071,9.3231679
02B,02B000148,2B039,BISINCHI,,,,02B00109847,2023-02-02,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,C,2,2023,42.4782071,9.3231679
02B,02B000148,2B039,BISINCHI,,,,02B00111118,2023-07-06,07h50,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,N,C,C,C,7,2023,42.4782071,9.3231679
02B,02B000150,2B039,BISINCHI,,,,02B00109849,2023-02-02,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,C,2,2023,42.4782071,9.3231679
02B,02B000150,2B039,BISINCHI,,,,02B00111120,2023-07-06,08h10,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,N,C,C,C,7,2023,42.4782071,9.3231679
02B,02B000151,2B039,BISINCHI,02B000145,RESERVOIR FORNU,100 %,02B00109846,2023-04-13,08h20,Eau d'alimentation conforme aux limites de qualité. Carbone Organique Total hors norme.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,N,4,2023,42.4782071,9.3231679
02B,02B000151,2B039,BISINCHI,,,,02B00109848,2023-02-02,08h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,N,C,N,C,2,2023,42.4782071,9.3231679
02B,02B000151,2B039,BISINCHI,,,,02B00111119,2023-07-06,08h20,Eau d'alimentation conforme aux limites de qualité.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,N,7,2023,42.4782071,9.3231679
02B,02B000152,2B039,BISINCHI,,,,02B00109850,2023-02-02,09h00,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,N,C,2,2023,42.4782071,9.3231679
02B,02B000152,2B039,BISINCHI,,,,02B00111121,2023-07-06,08h40,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,N,C,7,2023,42.4782071,9.3231679
02B,02B000155,2B347,VEZZANI,,,,02B00110506,2023-03-29,07h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,VEZZANI,MAIRIE DE VEZZANI,MAIRIE DE VEZZANI,C,C,C,C,3,2023,42.17362,9.2461
02B,02B000155,2B347,VEZZANI,02B000154,RESERVOIR SAMBUCCHU,100 %,02B00111661,2023-07-27,08h35,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,VEZZANI,MAIRIE DE VEZZANI,MAIRIE DE VEZZANI,N,C,C,C,7,2023,42.17362,9.2461
02B,02B000155,2B347,VEZZANI,,,,02B00111662,2023-08-23,09h05,Eau d'alimentation conforme aux limites de qualité.,VEZZANI,MAIRIE DE VEZZANI,MAIRIE DE VEZZANI,C,C,C,N,8,2023,42.17362,9.2461
02B,02B000169,2B043,BRANDO,02B000156,RESERVOIR POGGIOLO,100 %,02B00109852,2023-04-25,08h40,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Acrylamide hors norme.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,N,C,C,4,2023,42.7739502,9.4761301
02B,02B000169,2B043,BRANDO,,,,02B00109857,2023-01-26,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,1,2023,42.7739502,9.4761301
02B,02B000169,2B043,BRANDO,,,,02B00109858,2023-03-28,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,3,2023,42.7739502,9.4761301
02B,02B000169,2B043,BRANDO,,,,02B00111124,2023-07-10,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,7,2023,42.7739502,9.4761301
02B,02B000169,2B043,BRANDO,,,,02B00111125,2023-07-26,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,7,2023,42.7739502,9.4761301
02B,02B000170,2B043,BRANDO,02B000166,RESERVOIR FRISCOLACCIO,100 %,02B00109855,2023-04-25,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,4,2023,42.7739502,9.4761301
02B,02B000170,2B043,BRANDO,,,,02B00109860,2023-01-26,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,1,2023,42.7739502,9.4761301
02B,02B000170,2B043,BRANDO,,,,02B00109861,2023-03-28,09h00,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,N,3,2023,42.7739502,9.4761301
02B,02B000170,2B043,BRANDO,,,,02B00109862,2023-01-26,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,1,2023,42.7739502,9.4761301
02B,02B000170,2B043,BRANDO,,,,02B00111128,2023-07-26,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,7,2023,42.7739502,9.4761301
02B,02B000170,2B043,BRANDO,,,,02B00111130,2023-07-26,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,7,2023,42.7739502,9.4761301
02B,02B000172,2B043,BRANDO,02B000168,RESERVOIR SILGAGGIA,100 %,02B00109853,2023-01-26,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,C,C,1,2023,42.7739502,9.4761301
02B,02B000172,2B043,BRANDO,,,,02B00109859,2023-03-28,08h40,Eau d'alimentation conforme aux limites de qualité. Turbidité hors norme. Eau faiblement minéralisée. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.,BRANDO,MAIRIE DE BRANDO,MAIRIE DE BRANDO,C,C,N,N,3,2023,42.7739502,9.4761301
