cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00103627,2021-09-13,07h45,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,N,C,N,C,9,2021
02B,02B000021,2B003,AITI,,,,02B00103628,2021-06-23,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,6,2021
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00103525,2021-05-05,07h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau agressive. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,N,5,2021
02B,02B000029,2B235,PIOGGIOLA,,,,02B00103526,2021-03-17,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,N,N,3,2021
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00104547,2021-06-09,08h50,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,C,6,2021
02B,02B000029,2B235,PIOGGIOLA,,,,02B00104548,2021-09-15,08h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,C,9,2021
02B,02B000038,2B156,MAUSOLEO,02B000037,RESERVOIR MAUSOLEO VILLAGE,100 %,02B00103506,2021-03-17,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2021
02B,02B000038,2B156,MAUSOLEO,,,,02B00104529,2021-06-09,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,N,C,6,2021
02B,02B000038,2B156,MAUSOLEO,,,,02B00105870,2021-09-15,08h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,C,9,2021
02B,02B000043,2B190,OLMI-CAPPELLA,02B000125,RESERVOIR OLMI CAPELLA,100 %,02B00103293,2021-03-17,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,OEHC,OEHC,OEHC,C,C,N,N,3,2021
02B,02B000043,2B190,OLMI-CAPPELLA,02B000125,RESERVOIR OLMI CAPELLA,100 %,02B00103294,2021-05-05,09h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices.,OEHC,OEHC,OEHC,C,C,N,N,5,2021
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00103517,2021-03-17,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2021
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00104539,2021-06-09,09h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,6,2021
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00105875,2021-09-15,07h50,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,N,9,2021
02B,02B000064,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,100 %,02B00103247,2021-02-15,07h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B000064,2B087,CERVIONE,,,,02B00103254,2021-04-26,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2021
02B,02B000064,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,100 %,02B00104320,2021-09-20,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,9,2021
02B,02B000064,2B087,CERVIONE,,,,02B00104327,2021-07-29,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2021
02B,02B000064,2B087,CERVIONE,,,,02B00105730,2021-10-21,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,10,2021
02B,02B000065,2B087,CERVIONE,,,,02B00101787,2021-01-12,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2021
02B,02B000065,2B087,CERVIONE,02B001012,RESERVOIR CERVIONE,50 %,02B00103246,2021-02-15,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B000065,2B087,CERVIONE,,,,02B00103248,2021-04-26,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2021
02B,02B000065,2B087,CERVIONE,,,,02B00103249,2021-06-07,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00103254,2021-04-26,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2021
02B,02B000065,2B087,CERVIONE,02B001012,RESERVOIR CERVIONE,50 %,02B00104319,2021-09-20,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,9,2021
02B,02B000065,2B087,CERVIONE,,,,02B00104321,2021-06-29,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B000065,2B087,CERVIONE,,,,02B00104322,2021-07-29,07h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2021
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00104327,2021-07-29,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2021
02B,02B000065,2B087,CERVIONE,,,,02B00105724,2021-12-09,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,12,2021
02B,02B000065,2B087,CERVIONE,,,,02B00105725,2021-10-21,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,10,2021
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00105730,2021-10-21,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,10,2021
02B,02B000073,2B087,CERVIONE,,,,02B00101791,2021-01-12,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2021
02B,02B000073,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,50 %,02B00103247,2021-02-15,07h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B000073,2B087,CERVIONE,,,,02B00103252,2021-03-23,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,3,2021
02B,02B000073,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,50 %,02B00104320,2021-09-20,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,9,2021
02B,02B000073,2B087,CERVIONE,,,,02B00104325,2021-06-07,07h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B000073,2B087,CERVIONE,,,,02B00105728,2021-10-05,06h55,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Turbidité hors norme. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,N,C,N,N,10,2021
02B,02B000095,2B007,ALBERTACCE,02B000091,RESERVOIR ALBERTACCE,100 %,02B00102491,2021-05-04,07h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. Présence de bactéries coliformes. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,N,N,5,2021
02B,02B000095,2B007,ALBERTACCE,,,,02B00102494,2021-03-01,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,3,2021
02B,02B000095,2B007,ALBERTACCE,02B000091,RESERVOIR ALBERTACCE,100 %,02B00103633,2021-12-09,09h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,12,2021
02B,02B000095,2B007,ALBERTACCE,,,,02B00103636,2021-08-31,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,N,N,8,2021
02B,02B000095,2B007,ALBERTACCE,,,,02B00105349,2021-11-25,08h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,11,2021
02B,02B000096,2B007,ALBERTACCE,02B000092,RESERVOIR CALASIMA,100 %,02B00102492,2021-05-04,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries coliformes. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,N,N,5,2021
02B,02B000096,2B007,ALBERTACCE,,,,02B00102495,2021-03-01,07h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,3,2021
02B,02B000096,2B007,ALBERTACCE,02B000092,RESERVOIR CALASIMA,100 %,02B00103634,2021-12-09,09h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,12,2021
02B,02B000096,2B007,ALBERTACCE,,,,02B00103637,2021-08-31,07h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,8,2021
02B,02B000096,2B007,ALBERTACCE,,,,02B00105350,2021-11-25,07h50,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,11,2021
02B,02B000097,2B007,ALBERTACCE,02B000093,RESERVOIR PIETRA-ZITAMBOLI,100 %,02B00102493,2021-05-04,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries coliformes. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,N,N,5,2021
02B,02B000097,2B007,ALBERTACCE,,,,02B00102496,2021-03-01,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,3,2021
02B,02B000097,2B007,ALBERTACCE,02B000093,RESERVOIR PIETRA-ZITAMBOLI,100 %,02B00103635,2021-12-09,09h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,12,2021
02B,02B000097,2B007,ALBERTACCE,,,,02B00103638,2021-08-31,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,8,2021
02B,02B000097,2B007,ALBERTACCE,,,,02B00105351,2021-11-25,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,11,2021
02B,02B000103,2B016,ANTISANTI,02B000101,RESERVOIR ANTISANTI,100 %,02B00102505,2021-01-20,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,1,2021
02B,02B000103,2B016,ANTISANTI,,,,02B00102506,2021-04-20,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,4,2021
02B,02B000103,2B016,ANTISANTI,02B000101,RESERVOIR ANTISANTI,100 %,02B00103648,2021-06-08,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,6,2021
02B,02B000103,2B016,ANTISANTI,,,,02B00103649,2021-08-31,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,8,2021
02B,02B000103,2B016,ANTISANTI,,,,02B00105357,2021-11-16,07h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,N,C,N,C,11,2021
02B,02B000109,2B172,MURATO,,,,02B00101585,2021-01-07,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,1,2021
02B,02B000109,2B172,MURATO,02B000108,RESERVOIR CAMPANILE,100 %,02B00102800,2021-05-06,07h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,N,C,5,2021
02B,02B000109,2B172,MURATO,,,,02B00102801,2021-02-18,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,2,2021
02B,02B000109,2B172,MURATO,,,,02B00102802,2021-03-23,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,3,2021
02B,02B000109,2B172,MURATO,,,,02B00102803,2021-09-14,08h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,9,2021
02B,02B000109,2B172,MURATO,02B000108,RESERVOIR CAMPANILE,100 %,02B00103924,2021-08-03,10h50,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,N,C,C,C,8,2021
02B,02B000109,2B172,MURATO,,,,02B00103925,2021-06-08,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,6,2021
02B,02B000109,2B172,MURATO,,,,02B00103926,2021-07-08,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,N,C,7,2021
02B,02B000109,2B172,MURATO,,,,02B00105503,2021-10-14,08h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,10,2021
02B,02B000109,2B172,MURATO,,,,02B00105504,2021-12-01,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,N,C,12,2021
02B,02B000129,2B208,PERELLI,,,,02B00102870,2021-01-28,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,1,2021
02B,02B000129,2B208,PERELLI,,,,02B00104053,2021-06-14,06h05,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,6,2021
02B,02B000129,2B208,PERELLI,,,,02B00105536,2021-10-18,06h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,10,2021
