cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude_y,longitude_y
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00100392,2020-06-08,06h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,6,2020,42.5287906,9.0193558
02B,02B000043,2B190,OLMI-CAPPELLA,02B000125,RESERVOIR OLMI CAPELLA,100 %,02B00100542,2020-07-01,07h32,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,OEHC,OEHC,OEHC,C,C,C,N,7,2020,42.5287906,9.0193558
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00100592,2020-08-11,07h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,N,N,8,2020,42.5287906,9.0193558
02B,02B000064,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,100 %,02B00100147,2020-06-08,07h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,6,2020,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,,,,02B00100154,2020-01-13,06h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,1,2020,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,100 %,02B00101235,2020-11-18,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,11,2020,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,,,,02B00101239,2020-09-14,06h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,9,2020,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,,,,02B00101793,2020-10-15,07h05,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,10,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B001012,RESERVOIR CERVIONE,50 %,02B00100146,2020-06-08,06h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,6,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00100148,2020-01-13,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00100149,2020-05-14,07h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,5,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00100154,2020-01-13,06h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,1,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B001012,RESERVOIR CERVIONE,50 %,02B00100530,2020-11-18,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,11,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00100531,2020-07-09,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00101236,2020-09-14,06h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,9,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00101239,2020-09-14,06h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,9,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00101788,2020-10-15,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,10,2020,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00101793,2020-10-15,07h05,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,10,2020,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,50 %,02B00100147,2020-06-08,07h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,6,2020,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,,,,02B00100152,2020-04-28,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,4,2020,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,,,,02B00100533,2020-07-09,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2020,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,50 %,02B00101235,2020-11-18,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,11,2020,42.3322737,9.49192
02B,02B000095,2B007,ALBERTACCE,02B000091,RESERVOIR ALBERTACCE,100 %,02B00099305,2020-02-18,06h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,2,2020,42.3278205,8.9841915
02B,02B000095,2B007,ALBERTACCE,,,,02B00099308,2020-06-22,07h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,6,2020,42.3278205,8.9841915
02B,02B000095,2B007,ALBERTACCE,02B000091,RESERVOIR ALBERTACCE,100 %,02B00100601,2020-07-28,08h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,7,2020,42.3278205,8.9841915
02B,02B000095,2B007,ALBERTACCE,,,,02B00100604,2020-08-20,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Température hors norme. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,8,2020,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,02B000092,RESERVOIR CALASIMA,100 %,02B00099306,2020-02-18,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,2,2020,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,,,,02B00099309,2020-06-22,07h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,6,2020,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,02B000092,RESERVOIR CALASIMA,100 %,02B00100602,2020-07-28,08h05,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,7,2020,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,,,,02B00100605,2020-08-20,07h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,8,2020,42.3278205,8.9841915
02B,02B000097,2B007,ALBERTACCE,02B000093,RESERVOIR PIETRA-ZITAMBOLI,100 %,02B00099307,2020-02-18,06h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,2,2020,42.3278205,8.9841915
02B,02B000097,2B007,ALBERTACCE,,,,02B00099310,2020-06-22,07h25,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,6,2020,42.3278205,8.9841915
02B,02B000097,2B007,ALBERTACCE,,,,02B00100426,2020-08-20,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,8,2020,42.3278205,8.9841915
02B,02B000097,2B007,ALBERTACCE,02B000093,RESERVOIR PIETRA-ZITAMBOLI,100 %,02B00100603,2020-07-28,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,7,2020,42.3278205,8.9841915
02B,02B000103,2B016,ANTISANTI,02B000101,RESERVOIR ANTISANTI,100 %,02B00099318,2020-01-28,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,1,2020,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,,,,02B00099319,2020-10-14,07h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,N,C,N,C,10,2020,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,02B000101,RESERVOIR ANTISANTI,100 %,02B00100613,2020-06-17,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,6,2020,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,,,,02B00100614,2020-12-15,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,C,C,C,C,12,2020,42.1667523,9.347131
02B,02B000103,2B016,ANTISANTI,,,,02B00101442,2020-08-03,07h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Température hors norme. La teneur en chlore libre est insuffisante,ANTISANTI,MAIRIE DE ANTISANTI,MAIRIE DE ANTISANTI,N,C,N,N,8,2020,42.1667523,9.347131
02B,02B000109,2B172,MURATO,02B000108,RESERVOIR CAMPANILE,100 %,02B00099626,2020-01-09,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,1,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00099627,2020-04-02,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,4,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00099628,2020-05-26,06h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Turbidité hors norme. La teneur en chlore libre est insuffisante,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,N,5,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,02B000108,RESERVOIR CAMPANILE,100 %,02B00100470,2020-07-01,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,7,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00100471,2020-12-02,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,N,C,12,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00100847,2020-09-29,08h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,N,C,N,C,9,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00100848,2020-08-13,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,C,C,8,2020,42.580199,9.328854
02B,02B000109,2B172,MURATO,,,,02B00101584,2020-09-10,07h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante,MURATO,MAIRIE DE MURATO,MAIRIE DE MURATO,C,C,N,C,9,2020,42.580199,9.328854
02B,02B000129,2B208,PERELLI,,,,02B00099685,2020-03-02,06h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,3,2020,42.3235577,9.3935275
02B,02B000129,2B208,PERELLI,,,,02B00100920,2020-12-09,08h05,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,12,2020,42.3235577,9.3935275
02B,02B000129,2B208,PERELLI,,,,02B00101614,2020-10-01,06h35,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,MAIRIE DE PERELLI D'ALESANI,C,C,C,N,10,2020,42.3235577,9.3935275
02B,02B000132,2B267,SALICETO,02B000131,RESERVOIR SALICETO,100 %,02B00099826,2020-03-03,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,3,2020,42.399502899999995,9.2953131
02B,02B000132,2B267,SALICETO,,,,02B00099827,2020-01-29,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,1,2020,42.399502899999995,9.2953131
02B,02B000132,2B267,SALICETO,02B000131,RESERVOIR SALICETO,100 %,02B00101036,2020-11-05,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,11,2020,42.399502899999995,9.2953131
02B,02B000132,2B267,SALICETO,,,,02B00101037,2020-06-29,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,6,2020,42.399502899999995,9.2953131
02B,02B000132,2B267,SALICETO,,,,02B00101667,2020-09-02,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,SALICETO,MAIRIE DE SALICETO,MAIRIE DE SALICETO,C,C,C,N,9,2020,42.399502899999995,9.2953131
02B,02B000148,2B039,BISINCHI,02B000142,RESERVOIR BISINCHI,100 %,02B00099347,2020-06-11,08h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,N,6,2020,42.4782071,9.3231679
02B,02B000148,2B039,BISINCHI,,,,02B00099351,2020-02-06,09h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,C,2,2020,42.4782071,9.3231679
02B,02B000148,2B039,BISINCHI,,,,02B00100638,2020-08-06,08h45,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,N,C,N,C,8,2020,42.4782071,9.3231679
02B,02B000148,2B039,BISINCHI,,,,02B00101453,2020-09-16,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Turbidité hors norme,BISINCHI,MAIRIE DE BISINCHI,MAIRIE DE BISINCHI,C,C,C,N,9,2020,42.4782071,9.3231679
