cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,latitude,longitude,month,year
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00113155,2023-05-11,08h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,N,C,C,N,42.1679035,8.826578900000003,5,2023
02A,02A000020,2A174,MURZO,,,,02A00113512,2023-06-19,09h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un Ph bas. La présence de germes coliformes est également à surveiller.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,N,N,42.1679035,8.826578900000003,6,2023
02A,02A000031,2A240,POGGIOLO,,,,02A00112535,2023-02-13,09h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter un Ph bas. La présence de germes coliformes est également à surveiller.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,N,N,42.176149,8.9094189,2,2023
02A,02A000031,2A240,POGGIOLO,02A003034,TTP POGGIOLO,100 %,02A00113121,2023-05-03,09h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,5,2023
02A,02A000034,2A240,POGGIOLO,,,,02A00112536,2023-02-13,10h30,Eau d'alimentation non-conforme aux exigences de qualité. La présence massive de germes fécaux impose une surveillance renforcée. La turbidité est à surveiller.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,2,2023
02A,02A000034,2A240,POGGIOLO,02A000033,UNITE STERILISATION GUAGNO-LES-BAINS,100 %,02A00113120,2023-05-03,10h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,C,C,C,C,42.176149,8.9094189,5,2023
02A,02A000034,2A240,POGGIOLO,,,,02A00113456,2023-06-22,07h45,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE POGGIOLO,MAIRIE DE POGGIOLO,MAIRIE DE POGGIOLO,N,C,N,N,42.176149,8.9094189,6,2023
02A,02A000045,2A065,CARGESE,02A000044,UNITE STERILISATION BAITA,100 %,02A00112638,2023-03-01,10h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,3,2023
02A,02A000045,2A065,CARGESE,,,,02A00113115,2023-05-05,08h20,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,N,C,N,C,42.13436,8.59422,5,2023
02A,02A000045,2A065,CARGESE,,,,02A00113731,2023-07-13,11h40,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,N,C,N,C,42.13436,8.59422,7,2023
02A,02A000045,2A065,CARGESE,02A000044,UNITE STERILISATION BAITA,100 %,02A00113885,2023-07-18,11h11,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,7,2023
02A,02A000046,2A065,CARGESE,,,,02A00112377,2023-01-18,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,1,2023
02A,02A000046,2A065,CARGESE,,,,02A00112640,2023-03-01,08h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,3,2023
02A,02A000046,2A065,CARGESE,,,,02A00112875,2023-04-05,11h00,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,4,2023
02A,02A000046,2A065,CARGESE,,,,02A00113103,2023-05-05,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,C,42.13436,8.59422,5,2023
02A,02A000046,2A065,CARGESE,,,,02A00113576,2023-06-21,08h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,6,2023
02A,02A000046,2A065,CARGESE,,,,02A00113733,2023-07-13,12h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,7,2023
02A,02A000046,2A065,CARGESE,,,,02A00114268,2023-08-09,07h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE CARGESE,MAIRIE DE CARGESE,MAIRIE DE CARGESE,C,C,C,N,42.13436,8.59422,8,2023
02A,02A000051,2A348,VICO,,,,02A00112351,2023-01-09,09h09,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,1,2023
02A,02A000051,2A348,VICO,,,,02A00112669,2023-03-07,10h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,3,2023
02A,02A000051,2A348,VICO,,,,02A00113092,2023-05-03,09h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,5,2023
02A,02A000051,2A348,VICO,02A000050,UNITE STERILISATION VICO,100 %,02A00113394,2023-06-14,09h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,6,2023
02A,02A000051,2A348,VICO,,,,02A00113511,2023-06-19,09h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,6,2023
02A,02A000051,2A348,VICO,,,,02A00114303,2023-08-04,09h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,8,2023
02A,02A000052,2A348,VICO,,,,02A00112668,2023-03-07,09h50,Eau d'alimentation conforme aux limites de qualité en vigueur et ne satisfaisant pas aux références de qualité. Il est à noter un pH bas.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,3,2023
02A,02A000052,2A348,VICO,02A001027,UNITE STERILISATION APPRICIANI,100 %,02A00113305,2023-06-05,09h09,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter un pH bas.,COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,C,N,42.1661203,8.795793699999999,6,2023
02A,02A000052,2A348,VICO,,,,02A00114304,2023-08-04,08h40,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter un pH bas, et la présence de germes sulfito-réducteurs est à surveiller.",COMMUNE DE VICO,KYRNOLIA CEO BALEONE,MAIRIE DE VICO,C,C,N,N,42.1661203,8.795793699999999,8,2023
02A,02A000055,2A198,OTA,,,,02A00112378,2023-01-18,09h30,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,1,2023
02A,02A000055,2A198,OTA,,,,02A00112741,2023-03-13,11h50,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,3,2023
02A,02A000055,2A198,OTA,,,,02A00113104,2023-05-05,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,5,2023
02A,02A000055,2A198,OTA,,,,02A00113174,2023-05-09,09h30,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,5,2023
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00113255,2023-05-16,08h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,5,2023
02A,02A000055,2A198,OTA,,,,02A00114267,2023-08-09,09h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. De plus une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,8,2023
02A,02A000055,2A198,OTA,02A004569,USINE TRAITEMENT OTA,100 %,02A00114507,2023-08-22,10h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE D' OTA-PORTO,KYRNOLIA CEO BALEONE,MAIRIE D' OTA,C,C,C,N,42.2578277,8.7450622,8,2023
02A,02A000060,2A070,CASAGLIONE,,,,02A00112457,2023-02-01,09h10,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,2,2023
02A,02A000060,2A070,CASAGLIONE,02A000058,UNITE STERILISATION TIUCCIA,100 %,02A00112728,2023-03-09,10h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un pH bas.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,3,2023
02A,02A000060,2A070,CASAGLIONE,,,,02A00112857,2023-04-03,08h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,4,2023
02A,02A000060,2A070,CASAGLIONE,,,,02A00113020,2023-04-12,09h55,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,4,2023
02A,02A000060,2A070,CASAGLIONE,,,,02A00113309,2023-06-06,09h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,6,2023
02A,02A000060,2A070,CASAGLIONE,02A000058,UNITE STERILISATION TIUCCIA,100 %,02A00113728,2023-07-13,09h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,7,2023
02A,02A000060,2A070,CASAGLIONE,,,,02A00114397,2023-08-24,09h30,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. De plus, une température de l'eau supérieure à 25° peut entrainer des développements bactériens.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,8,2023
02A,02A000061,2A048,CALCATOGGIO,,,,02A00112361,2023-01-17,10h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La turbidité est à surveiller.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,1,2023
02A,02A000061,2A048,CALCATOGGIO,,,,02A00112458,2023-02-01,08h40,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,2,2023
02A,02A000061,2A070,CASAGLIONE,02A000059,UNITE STERILISATION PIOMBELLO,100 %,02A00112727,2023-03-09,09h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un pH bas.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,3,2023
02A,02A000061,2A048,CALCATOGGIO,,,,02A00112856,2023-04-03,11h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,4,2023
02A,02A000061,2A048,CALCATOGGIO,,,,02A00113019,2023-04-12,10h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,4,2023
02A,02A000061,2A048,CALCATOGGIO,,,,02A00113308,2023-06-06,08h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,6,2023
02A,02A000061,2A070,CASAGLIONE,02A000059,UNITE STERILISATION PIOMBELLO,100 %,02A00113439,2023-06-06,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. De plus l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,6,2023
02A,02A000061,2A048,CALCATOGGIO,,,,02A00113729,2023-07-13,10h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,7,2023
02A,02A000065,2A048,CALCATOGGIO,02A002097,TTP CALCATOGGIO VILLAGE,100 %,02A00112459,2023-02-01,09h35,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,2,2023
02A,02A000065,2A048,CALCATOGGIO,02A002097,TTP CALCATOGGIO VILLAGE,100 %,02A00112655,2023-02-23,10h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,2,2023
02A,02A000065,2A048,CALCATOGGIO,,,,02A00113307,2023-06-06,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,6,2023
02A,02A000065,2A048,CALCATOGGIO,02A002097,TTP CALCATOGGIO VILLAGE,100 %,02A00114258,2023-08-11,08h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,8,2023
02A,02A000065,2A048,CALCATOGGIO,,,,02A00114610,2023-08-24,09h50,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation, et une température de l'eau supérieure à 25° qui peut entrainer des développements bactériens.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,8,2023
02A,02A000066,2A048,CALCATOGGIO,,,,02A00113306,2023-06-06,08h00,"Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE (LITTORAL),KYRNOLIA CEO BALEONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.03069960000001,8.759427952990581,6,2023
